caseId,truth,selectedValue,selectedState,selectedRawText,selectedAcceptanceReason,selectedNormalizationOps,selectedMinTokenConf,selectedMeanTokenConf,selectedBoxWidthPx,selectedBoxHeightPx,layoutTags,cropA_region,cropA_mean,cropA_stdev,cropA_contrastRange,cropA_polarity,rereadA_psm8_text,rereadA_psm8_prodValue,rereadA_psm8_state,rereadA_psm8_meanConf,rereadA_psm11_text,rereadA_psm11_prodValue,rereadA_psm11_state,rereadA_psm11_meanConf,rereadB_psm7_text,rereadB_psm7_prodValue,rereadB_psm7_state,rereadB_psm7_meanConf,naiveRegexTriggered,productionParsedTriggered,visibleTranscription,selectedValueVisuallyCorrect
approved-wine-037,[13],19.0% BY VOL.,OBSERVED,19.0 % by volume,explicit-percent-by-volume,split-decimal-merge,79,90,175,32,back-label|dense-text|alcohol-at-bottom,"138,765,213,70",22,34,134,light-on-dark,13.0 Hoare,,NOT_OBSERVED,51,13.0 i) by volume --—_rm,,NOT_OBSERVED,52,I Alcohol | 3.0 i by volume |,,NOT_OBSERVED,69,yes,yes,Alcohol 13.0 % by volume,no
approved-wine-031,[13.5],13.5% ALC./VOL.,OBSERVED,Alc. 13.5% by Vol,explicit-percent-alc-vol,split-decimal-merge,58,77,163,50,back-label|dense-text|alcohol-at-bottom,"22,1077,223,94",224,63,255,dark-on-light,He f35hiyi,,NOT_OBSERVED,30,GONINS SUINIES Ne. 135% by Vol,13.5,OBSERVED,47,Ae 1355 yo esr BATAAN,,NOT_OBSERVED,37,yes,no,Alc. 13.5% by Vol,yes
wine-multi-artifact-05,[13.5],ALCOHOL 13.5 BY VOLUME,OBSERVED,ALC 135 BY VOL,explicit-percentless-alcohol-by-volume,implicit-decimal-recovery,58,84,97,7,multi-panel|alcohol-at-bottom,"73,928,105,15",225,38,163,dark-on-light,ALC 135% BY VOL,13.5,OBSERVED,90,ALC 135% BY VOL,13.5,OBSERVED,90,ALC 135% BY VOL - 750 mil CONTENT,13.5,OBSERVED,80,yes,no,ALC 13.5 % BY VOL,yes
